Division	Class	Order	Species	SFLAG	STAGE	Author	AphiaID	Trophy	Geometric shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted	Unit	Size range	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No. of cells/ counting unit	Calculated  volume µm3	Comment	Filament: length of cell (µm)	Calculated Carbon pg/counting unit	Comment on Carbon calculation	Corrections/Additions 2013
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	1			cell	 1.5-2.4					1,8		1	3	*		0,6	based on individual cell size	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	2			colony	 1.5-2.4					1,8		20	61	*		12	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	3			colony	 1.5-2.4					1,8		50	153	*		31	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	4			colony	 1.5-2.4					1,8		100	305	*		62	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	5			colony	 1.5-2.4					1,8		200	610	*		123	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	1			cell	 0.5-1.2					0,9		1	0,3			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	2			colony	 0.5-1.2					0,9		20	6			1,5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	3			colony	 0.5-1.2					0,9		50	16			4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	4			colony	 0.5-1.2					0,9		100	32			7	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	5			colony	 0.5-1.2					0,9		200	64			15	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	6			colony	 0.5-1.2					0,9		400	129			30	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	7			colony	 0.5-1.2					0,9		600	193			45	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	1			cell	 1.3-2					1,7		1	2			0,5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	2			colony	 1.3-2					1,7		20	47			10	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	3			colony	 1.3-2					1,7		50	118			24	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	4			colony	 1.3-2					1,7		100	235			48	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	5			colony	 1.3-2					1,7		200	470			96	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	1			cell	1					1,0		1	0,5			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	2			colony	1					1,0		20	10			2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	3			colony	1					1,0		50	26			6	based on individual cell	
